Found:4300
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 128 | <!-- Business Phone -->
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 142 | <!-- Business License -->
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 150 | <!-- Business Address -->
Business | Business | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 197 | <option value="merchant" {{ old('role') === 'merchant' ? 'selected' : '' }}>Business</option>
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 116 | <!-- Business Tab -->
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 121 | <!-- Business Email -->
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 128 | <!-- Business Phone -->
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 142 | <!-- Business License -->
Business | Business | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 150 | <!-- Business Address -->
Name | Name | E:\smart-cryptopay\resources\views\auth\register.blade.php | 11 | <!-- Name -->
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 37 | <a href="{{ route('admin.dashboard') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.dashboard' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 41 | <a href="{{ route('admin.users') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.users' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 45 | <a href="{{ route('admin.kyc') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.kyc' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 49 | <a href="{{ route('admin.transactions') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.transactions' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 53 | <a href="{{ route('admin.tickets.index') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.tickets.index' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 240 | <a href="{{ route('admin.dashboard') }}" class="sidebar-item @if(Route::currentRouteName() === 'admin.dashboard') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 248 | <a href="{{ route('merchant.dashboard') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.dashboard') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 252 | <a href="{{ route('merchant.payments') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.payments') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 256 | <a href="{{ route('merchant.invoices') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.invoices') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 260 | <a href="{{ route('merchant.settlements') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.settlements') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 264 | <a href="{{ route('merchant.customers') }}" class="sidebar-item @if(in_array(Route::currentRouteName(), ['merchant.customers', 'merchant.customers.show'])) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 268 | <a href="{{ route('merchant.wallets') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.wallets') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 280 | <a href="{{ route('documentation.type', ['type' => 'merchant']) }}" class="sidebar-item @if(\Illuminate\Support\Str::startsWith(Route::currentRouteName(), 'documentation')) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 285 | <a href="{{ route('tickets.index') }}" class="sidebar-item @if(\Illuminate\Support\Str::startsWith(Route::currentRouteName(), 'tickets')) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 292 | <a href="{{ route('user.dashboard') }}" class="sidebar-item @if(Route::currentRouteName() === 'user.dashboard') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 323 | <a href="{{ route('documentation.type', ['type' => 'user']) }}" class="sidebar-item @if(\Illuminate\Support\Str::startsWith(Route::currentRouteName(), 'documentation')) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 328 | <a href="{{ route('tickets.index') }}" class="sidebar-item @if(\Illuminate\Support\Str::startsWith(Route::currentRouteName(), 'tickets')) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 60 | <!-- Full Name -->
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 100 | <!-- Shop Name -->
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 338 | function switchTab(tabName) {
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 349 | const selectedTab = document.getElementById(tabName);
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 355 | const button = document.getElementById('tab-' + tabName);
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 363 | if (tabName === 'security' || tabName === 'kyc') {
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 454 | img.className = 'w-full h-24 object-cover rounded';
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 466 | link.className = 'text-sm text-indigo-600';
Name | Name | E:\smart-cryptopay\resources\views\merchant\wallets.blade.php | 340 | toast.className = 'fixed bottom-4 left-4 bg-green-500 text-white px-6 py-3 rounded-lg shadow-lg z-50';
Name | Name | E:\smart-cryptopay\resources\views\merchant\wallets.blade.php | 382 | input.value = this.dataset.walletName || '';
Name | Name | E:\smart-cryptopay\resources\views\user\transactions.blade.php | 477 | badge.className = 'status-badge inline-flex rounded-full border px-3 py-2 text-xs font-semibold ' + (badgeClasses[data.status] || 'bg-slate-100 text-slate-700 border-slate-200');
Name | Name | E:\smart-cryptopay\resources\views\user\wallets.blade.php | 419 | input.value = this.dataset.walletName || '';
Name | Name | E:\smart-cryptopay\resources\views\auth\register.blade.php | 11 | <!-- Name -->
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 37 | <a href="{{ route('admin.dashboard') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.dashboard' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 41 | <a href="{{ route('admin.users') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.users' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 45 | <a href="{{ route('admin.kyc') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.kyc' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 49 | <a href="{{ route('admin.transactions') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.transactions' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\admin.blade.php | 53 | <a href="{{ route('admin.tickets.index') }}" class="flex items-center gap-3 rounded-lg px-4 py-3 {{ Route::currentRouteName() === 'admin.tickets.index' ? 'bg-slate-800' : 'hover:bg-slate-800' }}">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 240 | <a href="{{ route('admin.dashboard') }}" class="sidebar-item @if(Route::currentRouteName() === 'admin.dashboard') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 248 | <a href="{{ route('merchant.dashboard') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.dashboard') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 252 | <a href="{{ route('merchant.payments') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.payments') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 256 | <a href="{{ route('merchant.invoices') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.invoices') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 260 | <a href="{{ route('merchant.settlements') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.settlements') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 264 | <a href="{{ route('merchant.customers') }}" class="sidebar-item @if(in_array(Route::currentRouteName(), ['merchant.customers', 'merchant.customers.show'])) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 268 | <a href="{{ route('merchant.wallets') }}" class="sidebar-item @if(Route::currentRouteName() === 'merchant.wallets') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 280 | <a href="{{ route('documentation.type', ['type' => 'merchant']) }}" class="sidebar-item @if(\Illuminate\Support\Str::startsWith(Route::currentRouteName(), 'documentation')) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 285 | <a href="{{ route('tickets.index') }}" class="sidebar-item @if(\Illuminate\Support\Str::startsWith(Route::currentRouteName(), 'tickets')) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 292 | <a href="{{ route('user.dashboard') }}" class="sidebar-item @if(Route::currentRouteName() === 'user.dashboard') active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 323 | <a href="{{ route('documentation.type', ['type' => 'user']) }}" class="sidebar-item @if(\Illuminate\Support\Str::startsWith(Route::currentRouteName(), 'documentation')) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 328 | <a href="{{ route('tickets.index') }}" class="sidebar-item @if(\Illuminate\Support\Str::startsWith(Route::currentRouteName(), 'tickets')) active @endif">
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 60 | <!-- Full Name -->
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 100 | <!-- Shop Name -->
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 338 | function switchTab(tabName) {
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 349 | const selectedTab = document.getElementById(tabName);
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 355 | const button = document.getElementById('tab-' + tabName);
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 363 | if (tabName === 'security' || tabName === 'kyc') {
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 454 | img.className = 'w-full h-24 object-cover rounded';
Name | Name | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 466 | link.className = 'text-sm text-indigo-600';
Name | Name | E:\smart-cryptopay\resources\views\merchant\wallets.blade.php | 340 | toast.className = 'fixed bottom-4 left-4 bg-green-500 text-white px-6 py-3 rounded-lg shadow-lg z-50';
Name | Name | E:\smart-cryptopay\resources\views\merchant\wallets.blade.php | 382 | input.value = this.dataset.walletName || '';
Name | Name | E:\smart-cryptopay\resources\views\user\transactions.blade.php | 477 | badge.className = 'status-badge inline-flex rounded-full border px-3 py-2 text-xs font-semibold ' + (badgeClasses[data.status] || 'bg-slate-100 text-slate-700 border-slate-200');
Name | Name | E:\smart-cryptopay\resources\views\user\wallets.blade.php | 419 | input.value = this.dataset.walletName || '';
security.status.active | Active | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 292 | function setActive(tab) {
security.status.active | Active | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 303 | loginTab.addEventListener('click', () => setActive('login'));
security.status.active | Active | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 304 | registerTab.addEventListener('click', () => setActive('register'));
security.status.active | Active | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 306 | setActive(activeTab || 'login');
security.status.active | Active | E:\smart-cryptopay\resources\views\merchant\dashboard-new.blade.php | 68 | <!-- Active Wallets -->
security.status.active | Active | E:\smart-cryptopay\resources\views\user\dashboard-new.blade.php | 56 | <!-- Active Wallets -->
security.status.active | Active | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 292 | function setActive(tab) {
security.status.active | Active | E:\smart-cryptopay\resources\views\auth\landing.blade.php | 303 | loginTab.addEventListener('click', () => setActive('login'));
